sort,city,locationName,web_name,PID,longitude,latitude
休閒漁港,宜蘭縣,漁港烏石,烏石,I001,121.8360,24.8680
休閒漁港,宜蘭縣,漁港大里,大里,I021,121.9210,24.9620
休閒漁港,宜蘭縣,漁港梗枋,梗枋,I022,121.8710,24.9030
休閒漁港,宜蘭縣,漁港南方澳,南方澳,I023,121.8710,24.5820
休閒漁港,宜蘭縣,漁港粉鳥林,粉鳥林,I024,121.8440,24.4960
休閒漁港,花蓮縣,漁港花蓮,花蓮,I061,121.6380,24.0000
休閒漁港,花蓮縣,漁港石梯,石梯,I062,121.5060,23.4950
休閒漁港,金門縣,漁港新湖,新湖,I067,118.4100,24.4310
休閒漁港,屏東縣,漁港琉球新,琉球新,I055,120.3750,22.3350
休閒漁港,屏東縣,漁港枋寮,枋寮,I056,120.5930,22.3630
休閒漁港,屏東縣,漁港紅柴坑,紅柴坑,I057,120.7160,21.9720
休閒漁港,屏東縣,漁港後壁湖,後壁湖,I058,120.7450,21.9450
休閒漁港,屏東縣,漁港水利村,水利村,I076,120.5131,22.4177
休閒漁港,屏東縣,漁港東港鹽埔,東港鹽埔,I077,120.4367,22.4722
休閒漁港,苗栗縣,漁港外埔,外埔,I041,120.7710,24.6510
休閒漁港,苗栗縣,漁港龍鳳,龍鳳,I042,120.8570,24.6990
休閒漁港,苗栗縣,漁港通霄,通霄,I071,120.6734,24.4969
休閒漁港,桃園市,漁港永安,永安,I040,121.0110,24.9900
休閒漁港,桃園市,漁港竹圍,竹圍,I070,121.2414,25.1171
休閒漁港,高雄市,漁港興達,興達,I006,120.1960,22.8630
休閒漁港,高雄市,漁港旗津,旗津,I007,120.2890,22.5890
休閒漁港,高雄市,漁港鼓山,鼓山,I008,120.2700,22.6200
休閒漁港,高雄市,漁港彌陀,彌陀,I052,120.2340,22.7620
休閒漁港,高雄市,漁港白沙崙,白沙崙,I053,120.1810,22.9150
休閒漁港,高雄市,漁港小港臨海新村,小港臨海新村,I054,120.3440,22.5450
休閒漁港,高雄市,漁港前鎮,前鎮,I072,120.3137,22.5697
休閒漁港,高雄市,漁港永新,永新,I073,120.2081,22.8203
休閒漁港,高雄市,漁港蚵仔寮,蚵仔寮,I074,120.2542,22.7258
休閒漁港,高雄市,漁港中芸,中芸,I075,120.4002,22.4835
休閒漁港,基隆市,漁港八斗子,八斗子,I002,121.7900,25.1470
休閒漁港,基隆市,漁港大武崙,大武崙,I025,121.7080,25.1670
休閒漁港,基隆市,漁港外木山,外木山,I026,121.7340,25.1600
休閒漁港,基隆市,漁港正濱,正濱,I027,121.7650,25.1530
休閒漁港,基隆市,漁港望海巷,望海巷,I028,121.8020,25.1380
休閒漁港,連江縣,漁港福澳,福澳,I068,119.9420,26.1590
休閒漁港,連江縣,漁港白沙,白沙,I069,119.9680,26.2050
休閒漁港,雲林縣,漁港台子村,台子村,I045,120.1390,23.5610
休閒漁港,雲林縣,漁港金湖,金湖,I046,120.1420,23.5720
休閒漁港,雲林縣,漁港箔子寮,箔子寮,I047,120.1360,23.6190
休閒漁港,雲林縣,漁港五條港,五條港,I048,120.1710,23.7220
休閒漁港,新北市,漁港淡水第二,淡水第二,I029,121.4090,25.1830
休閒漁港,新北市,漁港磺港,磺港,I030,121.6480,25.2310
休閒漁港,新北市,漁港野柳,野柳,I031,121.6890,25.2080
休閒漁港,新北市,漁港萬里,萬里,I032,121.6950,25.1820
休閒漁港,新北市,漁港龜吼,龜吼,I033,121.6880,25.1960
休閒漁港,新北市,漁港東澳,東澳,I034,121.6960,25.2040
休閒漁港,新北市,漁港深澳,深澳,I035,121.8200,25.1310
休閒漁港,新北市,漁港南雅,南雅,I036,121.8870,25.1220
休閒漁港,新北市,漁港鼻頭,鼻頭,I037,121.9150,25.1240
休閒漁港,新北市,漁港福隆,福隆,I038,121.9510,25.0210
休閒漁港,新北市,漁港澳底,澳底,I039,121.9270,25.0580
休閒漁港,新竹市,漁港新竹,新竹,I003,120.9220,24.8480
休閒漁港,嘉義縣,漁港布袋,布袋,I049,120.1570,23.3880
休閒漁港,嘉義縣,漁港東石,東石,I050,120.1380,23.4500
休閒漁港,彰化縣,漁港崙尾灣,崙尾灣,I044,120.4210,24.0810
休閒漁港,臺中市,漁港梧棲,梧棲,I043,120.5190,24.2920
休閒漁港,臺東縣,漁港金樽,金樽,I009,121.2920,22.9540
休閒漁港,臺東縣,漁港新港,新港,I010,121.3790,23.0970
休閒漁港,臺東縣,漁港伽藍,伽藍,I059,121.1930,22.7910
休閒漁港,臺東縣,漁港綠島,綠島,I060,121.4760,22.6590
休閒漁港,臺南市,漁港將軍,將軍,I004,120.0860,23.2120
休閒漁港,臺南市,漁港安平,安平,I005,120.1540,22.9900
休閒漁港,臺南市,漁港下山,下山,I051,120.1130,23.1370
休閒漁港,澎湖縣,漁港七美,七美,I011,119.4200,23.1940
休閒漁港,澎湖縣,漁港吉貝,吉貝,I012,119.6130,23.7400
休閒漁港,澎湖縣,漁港大果葉,大?葉,I013,119.5170,23.5940
休閒漁港,澎湖縣,漁港沙港西,沙港西,I014,119.6200,23.6060
休閒漁港,澎湖縣,漁港通樑,通樑,I015,119.5560,23.6560
休閒漁港,澎湖縣,漁港後寮,後寮,I016,119.5690,23.6720
休閒漁港,澎湖縣,漁港赤崁,赤崁,I017,119.6040,23.6650
休閒漁港,澎湖縣,漁港馬公,馬公,I018,119.5740,23.5660
休閒漁港,澎湖縣,漁港龍門,龍門,I019,119.6740,23.5590
休閒漁港,澎湖縣,漁港歧頭,歧頭,I020,119.6090,23.6490
休閒漁港,澎湖縣,漁港沙港東,沙港東,I063,119.6310,23.6040
休閒漁港,澎湖縣,漁港菜園,菜園,I064,119.5950,23.5490
休閒漁港,澎湖縣,漁港前寮,前寮,I065,119.5880,23.5510
休閒漁港,澎湖縣,漁港鎮港,鎮海,I066,119.6010,23.6420
海水浴場,宜蘭縣,海水浴場頭城,頭城,A001,121.8283,24.8523
海水浴場,花蓮縣,海水浴場磯崎,磯崎,A002,121.5496,23.7006
海水浴場,屏東縣,海水浴場墾丁,墾丁,A003,120.7900,21.9459
海水浴場,屏東縣,海水浴場南灣,南灣,A004,120.7613,21.9604
海水浴場,屏東縣,海水浴場小灣,小灣,A005,120.8044,21.9414
海水浴場,苗栗縣,海水浴場崎頂,崎頂,A006,120.8656,24.7228
海水浴場,苗栗縣,海水浴場通霄,通霄,A007,120.6736,24.4928
海水浴場,高雄市,海水浴場西子灣,西子灣,A008,120.2648,22.6250
海水浴場,高雄市,海水浴場旗津海岸公園,旗津海岸公園,A009,120.2751,22.6024
海水浴場,基隆市,海水浴場和平島,和平島,A010,121.7638,25.1608
海水浴場,雲林縣,海水浴場三條崙,三條崙,A011,120.1516,23.6628
海水浴場,新北市,海水浴場新金山,新金山,A012,121.6433,25.2249
海水浴場,新北市,海水浴場鹽寮,鹽寮,A013,121.9264,25.0421
海水浴場,新北市,海水浴場龍洞南口,龍洞南口,A014,121.9181,25.1020
海水浴場,新北市,海水浴場翡翠灣,翡翠灣,A015,121.6841,25.1872
海水浴場,新北市,海水浴場龍門公園,龍門公園,A016,121.9385,25.0187
海水浴場,新北市,海水浴場福隆,福隆,A017,121.9433,25.0180
海水浴場,新北市,海水浴場龍洞灣公園,龍洞灣公園,A018,121.9159,25.1174
海水浴場,臺中市,海水浴場大安,大安海水浴場,A022,121.1852,22.8312
海水浴場,臺東縣,海水浴場杉原,杉原,A019,119.6032,23.7332
海水浴場,臺南市,海水浴場馬沙溝,馬沙溝,A021,120.0841,23.2175
海水浴場,澎湖縣,海水浴場吉貝海園,吉貝海園,A020,120.5841,24.3839
潮汐鄉鎮,宜蘭縣,宜蘭縣蘇澳鎮,,,121.8669,24.5925
潮汐鄉鎮,宜蘭縣,宜蘭縣頭城鎮,,,121.8375,24.8672
潮汐鄉鎮,宜蘭縣,宜蘭縣壯圍鄉,,,121.8727,24.7677
潮汐鄉鎮,宜蘭縣,宜蘭縣五結鄉,,,121.8420,24.6804
潮汐鄉鎮,宜蘭縣,宜蘭縣南澳鄉,,,121.8068,24.4149
潮汐鄉鎮,桃園縣,桃園市蘆竹區,,,121.2801,25.1207
潮汐鄉鎮,桃園縣,桃園市大園區,,,121.2433,25.1181
潮汐鄉鎮,桃園縣,桃園市新屋區,,,121.0046,24.9844
潮汐鄉鎮,桃園縣,桃園市觀音區,,,121.0800,25.0669
潮汐鄉鎮,新竹縣,新竹縣竹北市,,,120.9275,24.8620
潮汐鄉鎮,新竹縣,新竹縣新豐鄉,,,120.9668,24.9278
潮汐鄉鎮,苗栗縣,苗栗縣苑裡鎮,,,120.6217,24.4560
潮汐鄉鎮,苗栗縣,苗栗縣通霄鎮,,,120.6547,24.4948
潮汐鄉鎮,苗栗縣,苗栗縣竹南鎮,,,120.8537,24.7117
潮汐鄉鎮,苗栗縣,苗栗縣後龍鎮,,,120.7714,24.6514
